City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,surgut,61.25,73.4167,-5.9,100,75,6.0,RU,1741814986
311,tromso,69.6496,18.957,-3.99,58,0,7.2,NO,1741814986
312,mossel bay,-34.1831,22.146,19.91,92,21,2.39,ZA,1741814986
313,fortuna,40.5982,-124.1573,8.29,93,75,4.12,US,1741814986
314,chadron,42.8294,-102.9999,18.87,19,0,4.12,US,1741814986
315,jinjiang,24.8198,118.5741,19.43,94,87,1.15,CN,1741814986
316,antsiranana,-12.2787,49.2917,24.6,90,87,2.83,MG,1741814986
317,kourou,5.1552,-52.6478,25.4,90,86,4.04,GF,1741814987
318,bodaybo,57.8506,114.1933,-17.94,100,100,0.39,RU,1741814987
319,promyshlennaya,54.9159,85.6385,-22.47,100,98,1.61,RU,1741814987
320,muroto-misakicho,33.2833,134.15,15.54,79,84,3.3,JP,1741814987
321,kuqa,41.7278,82.9364,5.7,27,0,2.13,CN,1741814987
322,road town,18.4167,-64.6167,27.02,74,40,2.57,VG,1741814987
323,andergrove,-21.0833,149.1833,24.96,82,15,5.74,AU,1741814987
324,high river,50.5834,-113.8687,4.62,54,100,2.02,CA,1741814987
325,yangshuo,24.7808,110.4897,19.13,97,100,1.73,CN,1741814987
326,brisas de zicatela,15.8369,-97.0419,31.29,70,20,7.2,MX,1741814988
327,jiazi,22.8779,116.067,21.03,93,100,1.81,CN,1741814988
328,san lawrenz,36.0553,14.204,15.48,92,2,4.23,MT,1741814988
329,yesilli,37.3405,40.8256,12.33,50,0,1.78,TR,1741814988
330,antofagasta,-23.65,-70.4,21.6,81,30,3.78,CL,1741814988
331,port-vila,-17.7338,168.3219,24.78,100,100,1.03,VU,1741814988
332,ampanihy,-24.7,44.75,23.14,92,100,2.33,MG,1741814988
333,al khawr,25.7667,51.3167,19.29,59,32,6.22,QA,1741814988
334,lompoc,34.6391,-120.4579,16.23,67,100,7.72,US,1741814989
335,san ignacio de velasco,-16.3667,-60.95,27.22,84,47,1.6,BO,1741814989
336,bikenibeu village,1.3673,173.1241,27.98,78,20,5.66,KI,1741814989
337,forster,-32.1667,152.5167,19.58,86,16,1.61,AU,1741814989
338,masvingo,-20.0637,30.8277,17.35,95,100,2.75,ZW,1741814989
339,urzhar,47.093,81.6294,-13.56,63,16,3.7,KZ,1741814989
340,nekrasovskoye,57.6766,40.3657,4.94,93,100,2.0,RU,1741814989
341,flying fish cove,-10.4217,105.6791,25.82,94,99,2.57,CX,1741814990
342,pyapon,16.2833,95.6833,23.63,71,100,3.54,MM,1741814990
343,santa vitoria,-18.8386,-50.1214,26.52,63,99,0.31,BR,1741814990
344,labytnangi,66.6572,66.4183,-14.91,86,11,4.08,RU,1741814990
345,smirnovo,54.5125,69.4222,-2.66,86,100,6.89,KZ,1741814990
346,fortaleza,-3.7227,-38.5247,27.9,89,20,3.09,BR,1741814990
347,alzamay,55.5562,98.6644,-9.31,94,100,2.9,RU,1741814990
348,arish,31.1316,33.7984,18.88,70,1,3.01,EG,1741814990
349,morehead city,34.7229,-76.726,21.69,65,0,6.69,US,1741814990
350,virac,13.6333,124.2167,21.52,87,90,4.63,PH,1741814990
351,carora,10.1755,-70.0827,33.88,32,99,3.09,VE,1741814991
352,whitehorse,60.7161,-135.0538,-2.72,62,75,2.06,CA,1741814991
353,timimoun,29.2639,0.231,22.21,20,0,2.57,DZ,1741814991
354,palora,-1.7,-77.9333,25.06,84,95,1.36,EC,1741814991
355,at taj,24.2049,23.2857,23.49,14,29,3.68,LY,1741814991
356,samitah,16.596,42.9444,26.65,72,0,2.42,SA,1741814991
357,alaghsas,17.0187,8.0168,31.47,13,100,1.13,NE,1741814991
358,babu,24.4167,111.5167,21.04,93,13,0.26,CN,1741814991
359,peniche,39.3558,-9.3811,13.45,95,80,7.95,PT,1741814992
